partName    state slash   impact   pierce   fire   water   thunder   ice   dragon stun
Head		65	70	60	0	15	20	15	30	100
Head	Wounds	70	75	65	0	15	20	15	30	100
Neck		35	40	30	0	5	10	5	20	0
Neck	Wounds	60	55	50	0	15	20	15	30	0
Torso		25	25	20	0	5	10	5	20	0
Torso	Wounds	60	55	50	0	15	20	15	30	0
Left Wing		55	50	40	0	10	15	10	25	0
Left Wing	Wounds	60	55	50	0	15	20	15	30	0
Right Wing		55	50	40	0	10	15	10	25	0
Right Wing	Wounds	60	55	50	0	15	20	15	30	0
Left Leg		45	45	30	0	0	5	0	15	0
Left Leg	Wounds	60	55	50	0	15	20	15	30	0
Right Leg		45	45	30	0	0	5	0	15	0
Right Leg	Wounds	60	55	50	0	15	20	15	30	0
Tail		45	40	35	0	5	10	5	20	0
Tail	Wounds	60	55	50	0	15	20	15	30	0
